12800 	290 	369 	278 	
25600 	248 	306 	275 	
38400 	247 	350 	274 	
51200 	247 	338 	269 	
64000 	249 	340 	268 	
76800 	243 	361 	266 	
89600 	239 	360 	267 	
102400 	239 	385 	265 	
115200 	247 	367 	267 	
128000 	242 	320 	264 	
