PUSH  FIND  POP
2148     309     3328     
2154     310     3336     
2160     310     3345     
2166     311     3354     
2172     311     3362     
2178     312     3371     
2183     313     3380     
2189     313     3388     
2194     314     3395     
2200     315     3404     
2206     315     3412     
2211     316     3420     
2216     317     3428     
2222     317     3436     
2227     318     3445     
2232     319     3452     
2238     319     3460     
2244     320     3468     
2249     321     3477     
2254     322     3485     
2260     324     3493     
2266     325     3502     
2271     326     3510     
2276     327     3520     
2281     328     3528     
2286     328     3538     
2291     329     3546     
2296     329     3553     
2302     330     3561     
2307     331     3569     
2311     332     3576     
2316     332     3583     
2321     333     3592     
2326     334     3599     
2330     335     3607     
2335     335     3615     
2340     335     3622     
2345     336     3630     
2350     337     3637     
2354     338     3644     
2360     339     3653     
2365     340     3660     
2369     341     3667     
2374     341     3675     
2378     342     3683     
2382     343     3691     
2387     344     3699     
2391     345     3707     
2395     346     3714     
2400     347     3722     
2405     348     3730     
2410     349     3756     
2416     350     3766     
2422     351     3775     
2428     352     3785     
2434     353     3795     
2440     354     3804     
2445     355     3813     
2451     356     3824     
2458     357     3834     
2465     358     3844     
2471     359     3855     
2478     360     3864     
2485     360     3873     
2491     361     3882     
2497     362     3892     
2504     363     3901     
2511     364     3911     
2517     365     3921     
2523     366     3931     
2529     366     3941     
2535     366     3951     
2543     367     3965     
2551     368     3974     
2557     370     3984     
2564     371     3995     
2571     372     4005     
2578     373     4014     
2584     374     4025     
2590     375     4034     
2596     376     4044     
2626     377     4054     
2632     378     4064     
2640     379     4076     
2648     380     4087     
2655     381     4098     
2661     382     4109     
2668     383     4120     
2675     383     4132     
2682     384     4143     
2689     385     4154     
2696     386     4165     
2703     387     4176     
2711     388     4186     
2719     389     4197     
2726     390     4208     
2733     391     4218     
2740     392     4229     
2746     393     4240     
2753     394     4250     
2761     395     4261     
2768     396     4272     
2775     397     4282     
2783     398     4293     
2790     399     4303     
2797     400     4314     
2804     401     4325     
2811     402     4335     
2818     403     4345     
2825     404     4355     
2832     405     4365     
2838     406     4376     
2845     407     4386     
2853     408     4396     
2860     409     4407     
2867     410     4417     
2875     411     4429     
2882     412     4440     
2889     413     4451     
2895     414     4463     
2901     415     4474     
2908     416     4484     
2915     417     4495     
2922     418     4506     
2930     419     4519     
2939     420     4531     
2956     421     4539     
2960     421     4546     
2964     422     4553     
2968     423     4559     
2972     423     4565     
2976     423     4574     
2981     423     4581     
2986     423     4588     
2990     423     4595     
2994     424     4602     
2999     424     4609     
3003     424     4615     
3007     425     4622     
3012     426     4628     
3016     427     4634     
3020     427     4640     
3024     427     4646     
3028     428     4653     
3033     428     4660     
3038     429     4666     
3042     429     4673     
3046     429     4679     
3051     430     4685     
3055     430     4692     
3059     431     4699     
3063     431     4706     
3068     431     4713     
3073     431     4720     
3077     431     4727     
3081     432     4733     
3085     433     4740     
3089     434     4747     
3093     435     4754     
3098     435     4761     
3103     435     4768     
3107     436     4775     
3112     436     4782     
3117     437     4789     
3122     438     4795     
3127     439     4802     
3131     439     4808     
3136     440     4815     
3140     441     4823     
3144     442     4830     
3149     442     4837     
3153     443     4844     
3158     443     4851     
3162     444     4858     
3167     444     4865     
3171     445     4872     
3176     445     4879     
3180     445     4886     
3185     445     4893     
3189     446     4901     
3193     447     4908     
3197     447     4915     
3202     448     4922     
3206     448     4929     
3211     448     4936     
3216     448     4943     
3221     449     4950     
3226     449     4957     
3230     450     4964     
3234     451     4971     
3239     451     4978     
3243     451     4985     
3248     451     4992     
3253     452     4999     
3257     453     5007     
3261     453     5014     
3266     454     5021     
3270     455     5028     
3275     456     5035     
3279     457     5042     
3294     457     5049     
3299     458     5056     
3304     458     5063     
3309     458     5070     
3314     458     5077     
3319     459     5083     
3324     460     5090     
3328     461     5097     
3333     462     5104     
3338     463     5111     
3343     464     5118     
3348     464     5125     
3353     465     5132     
3357     466     5139     
3361     467     5146     
3365     468     5153     
3369     469     5161     
3374     470     5168     
3379     470     5175     
3383     471     5182     
3388     471     5190     
3393     472     5197     
3398     473     5204     
3403     474     5211     
3408     475     5219     
3413     476     5226     
3418     477     5233     
3422     477     5240     
3427     478     5247     
3431     479     5254     
3436     480     5261     
3441     480     5268     
3446     480     5275     
3451     480     5282     
3455     480     5289     
3459     481     5295     
3463     482     5301     
3468     482     5308     
3472     483     5316     
3476     484     5324     
3480     485     5331     
3485     486     5338     
3489     487     5346     
3494     487     5353     
3498     488     5361     
3502     489     5369     
3506     490     5376     
3511     490     5383     
3515     491     5390     
3520     491     5397     
3524     492     5404     
3529     492     5411     
3534     493     5418     
3539     494     5425     
3544     495     5432     
3549     495     5439     
3553     495     5446     
3558     495     5453     
